package,in_degree_centrality,out_degree_centrality,structural_metric,structural,pagerank,in_degree_centrality_norm,structural_norm,pagerank_norm,criticality_index,risk_score,combined_score,criticality_rank
typing-extensions,0.49277000,0.00000000,katz,0.54250691,0.09202897,1.00000000,1.00000000,1.00000000,1.00000000,0.98418000,0.99209000,1
idna,0.26321735,0.00000000,katz,0.26658142,0.01186443,0.53415864,0.49010166,0.12774237,0.35617219,0.92457000,0.64037109,2
certifi,0.24853141,0.00000000,katz,0.23657395,0.01229497,0.50435580,0.43464916,0.13242701,0.33118696,0.91868900,0.62493798,3
urllib3,0.22616358,0.00000000,katz,0.20520039,0.01009057,0.45896378,0.37667219,0.10844131,0.28995274,0.91042700,0.60018987,4
charset-normalizer,0.20786263,0.00000000,katz,0.19176337,0.00881517,0.42182485,0.35184115,0.09456385,0.26642615,0.89888300,0.58265458,5
requests,0.20469950,0.00090375,katz,0.17262448,0.00694706,0.41540578,0.31647332,0.07423734,0.24431204,0.89953100,0.57192152,6
packaging,0.17555355,0.00000000,katz,0.14283740,0.00867748,0.35625860,0.26142808,0.09306566,0.21779074,0.88844800,0.55311937,7
six,0.15657479,0.00000000,katz,0.14871243,0.01432822,0.31774415,0.27228488,0.15455049,0.23655594,0.86545700,0.55100647,8
pycparser,0.11568007,0.00000000,katz,0.12474141,0.00973499,0.23475470,0.22798749,0.10457234,0.18031323,0.83342700,0.50687012,9
numpy,0.11319476,0.00000000,katz,0.08504988,0.01597224,0.22971114,0.15463925,0.17243886,0.18052706,0.83203900,0.50628303,10
python-dateutil,0.13104383,0.00022594,katz,0.11559167,0.00531596,0.26593306,0.21107916,0.05648954,0.16295679,0.84870200,0.50582939,11
cffi,0.11545413,0.00022594,katz,0.11340129,0.00526213,0.23429619,0.20703142,0.05590382,0.15339657,0.83503100,0.49421379,12
exceptiongroup,0.12584727,0.00022594,katz,0.13236153,0.00445692,0.25538744,0.24206913,0.04714252,0.16742806,0.81951300,0.49347053,13
pyyaml,0.11500226,0.00000000,katz,0.10263942,0.00492878,0.23337918,0.18714396,0.05227666,0.14475584,0.83505100,0.48990342,14
click,0.10664257,0.00000000,katz,0.10395946,0.00485973,0.21641449,0.18958333,0.05152536,0.14106793,0.82606200,0.48356497,15
attrs,0.10415725,0.00000000,katz,0.11426332,0.00388741,0.21137093,0.20862443,0.04094577,0.14223959,0.82125000,0.48174480,16
pydantic-core,0.10302756,0.00022594,katz,0.11088449,0.00289323,0.20907840,0.20238049,0.03012821,0.13515406,0.82164400,0.47839903,17
pygments,0.09873475,0.00000000,katz,0.10387694,0.00363282,0.20036680,0.18943085,0.03817554,0.13166272,0.82127600,0.47646936,18
annotated-types,0.10302756,0.00000000,katz,0.11088449,0.00289323,0.20907840,0.20238049,0.03012821,0.13515406,0.81776900,0.47646153,19
typing-inspection,0.10302756,0.00022594,katz,0.11088449,0.00289323,0.20907840,0.20238049,0.03012821,0.13515406,0.81610600,0.47563003,20
pydantic,0.10302756,0.00090375,katz,0.10092850,0.00239860,0.20907840,0.18398226,0.02474622,0.12656188,0.82422100,0.47539144,21
cryptography,0.10167194,0.00067781,katz,0.09323214,0.00304854,0.20632737,0.16975972,0.03181815,0.12372500,0.82606200,0.47489350,22
anyio,0.09805694,0.00067781,katz,0.10229040,0.00229958,0.19899129,0.18649898,0.02366884,0.12449000,0.81618200,0.47033600,23
zipp,0.08992318,0.00000000,katz,0.10712671,0.00637567,0.18248510,0.19543627,0.06802008,0.14123200,0.79628800,0.46876000,24
h11,0.09263443,0.00000000,katz,0.09748609,0.00300979,0.18798716,0.17762084,0.03139647,0.12172267,0.80891400,0.46531834,25
markupsafe,0.08563037,0.00000000,katz,0.09193009,0.00516499,0.17377350,0.16735359,0.05484685,0.12395587,0.79729300,0.46062444,26
protobuf,0.07591505,0.00000000,katz,0.09521690,0.00484734,0.15405777,0.17342747,0.05139060,0.11977030,0.78960900,0.45468965,27
importlib-metadata,0.08246724,0.00022594,katz,0.09305386,0.00315595,0.16735442,0.16943026,0.03298686,0.11433394,0.78922600,0.45177997,28
httpx,0.08111161,0.00022594,katz,0.07583829,0.00147839,0.16460339,0.13761664,0.01473356,0.09521010,0.79411500,0.44466255,29
httpcore,0.08111161,0.00045188,katz,0.07583829,0.00147839,0.16460339,0.13761664,0.01473356,0.09521010,0.79367000,0.44444005,30
jinja2,0.07840036,0.00022594,katz,0.07294923,0.00213057,0.15910133,0.13227779,0.02182984,0.09480449,0.78663300,0.44071875,31
tomli,0.07207411,0.00000000,katz,0.06979691,0.00462582,0.14626318,0.12645243,0.04898025,0.10041624,0.76795600,0.43418612,32
mdurl,0.06507004,0.00000000,katz,0.08720947,0.00338521,0.13204952,0.15863009,0.03548132,0.10272544,0.76562300,0.43417422,33
markdown-it-py,0.06484410,0.00022594,katz,0.07928134,0.00182984,0.13159101,0.14397924,0.01855758,0.09071352,0.76744200,0.42907776,34
rich,0.06258473,0.00067781,katz,0.07071498,0.00125591,0.12700596,0.12814899,0.01231278,0.08152875,0.76437000,0.42294938,35
tqdm,0.05625847,0.00000000,katz,0.04123368,0.00182411,0.11416781,0.07366882,0.01849528,0.06172415,0.75048800,0.40610608,36
rpds-py,0.04563940,0.00000000,katz,0.06476770,0.00122460,0.09261807,0.11715867,0.01197216,0.06894892,0.73093600,0.39994246,37
grpcio,0.04812472,0.00022594,katz,0.05525577,0.00148509,0.09766162,0.09958104,0.01480642,0.06519134,0.73223400,0.39871267,38
multidict,0.04857659,0.00022594,katz,0.04041215,0.00123033,0.09857863,0.07215068,0.01203444,0.05471117,0.74009100,0.39740109,39
fsspec,0.04473565,0.00000000,katz,0.05053019,0.00086750,0.09078404,0.09084838,0.00808656,0.05772757,0.73654400,0.39713578,40
referencing,0.04541347,0.00067781,katz,0.05887973,0.00095424,0.09215956,0.10627796,0.00903032,0.06384930,0.72915600,0.39650265,41
googleapis-common-protos,0.04428378,0.00022594,katz,0.05750746,0.00114811,0.08986703,0.10374206,0.01113979,0.06323240,0.72662400,0.39492820,42
propcache,0.04676909,0.00000000,katz,0.03918843,0.00118578,0.09491059,0.06988929,0.01154976,0.05280881,0.73660300,0.39470590,43
jsonschema-specifications,0.04450972,0.00090375,katz,0.05297434,0.00073932,0.09032554,0.09536504,0.00669188,0.05863590,0.72699600,0.39281595,44
