package,in_degree_centrality,out_degree_centrality,betweenness,pagerank,in_degree_centrality_norm,betweenness_norm,pagerank_norm,criticality_index,risk_score,combined_score,criticality_rank
typing-extensions,0.49277000,0.00000000,0.00000000,0.09202897,1.00000000,0.00000000,1.00000000,0.65000000,0.98417981,0.99208990,1
google-auth,0.03253502,0.00158156,0.00000614,0.00080900,0.06602476,1.00000000,0.00745001,0.36948619,0.69846246,0.63345138,2
idna,0.26321735,0.00000000,0.00000000,0.01186443,0.53415864,0.00000000,0.12774237,0.18463661,0.92457010,0.60431321,3
certifi,0.24853141,0.00000000,0.00000000,0.01229497,0.50435580,0.00000000,0.13242701,0.17905975,0.91868870,0.59708262,4
urllib3,0.22616358,0.00000000,0.00000000,0.01009057,0.45896378,0.00000000,0.10844131,0.15811747,0.91042692,0.57684228,5
charset-normalizer,0.20786263,0.00000000,0.00000000,0.00881517,0.42182485,0.00000000,0.09456385,0.14328175,0.89888308,0.55965827,6
requests,0.20469950,0.00090375,0.00000000,0.00694706,0.41540578,0.00000000,0.07423734,0.13354638,0.89953120,0.55249359,7
six,0.15657479,0.00000000,0.00000000,0.01432822,0.31774415,0.00000000,0.15455049,0.14125623,0.86545661,0.54138694,8
packaging,0.17555355,0.00000000,0.00000000,0.00867748,0.35625860,0.00000000,0.09306566,0.12629091,0.88844795,0.54137083,9
aiohttp,0.04450972,0.00225938,0.00000292,0.00084937,0.09032554,0.47642164,0.00788927,0.19248467,0.73112489,0.51362757,10
numpy,0.11319476,0.00000000,0.00000000,0.01597224,0.22971114,0.00000000,0.17243886,0.12640333,0.83203889,0.51325277,11
pycparser,0.11568007,0.00000000,0.00000000,0.00973499,0.23475470,0.00000000,0.10457234,0.10051761,0.83342706,0.49403477,12
python-dateutil,0.13104383,0.00022594,0.00000000,0.00531596,0.26593306,0.00000000,0.05648954,0.08907908,0.84870189,0.49287332,13
cffi,0.11545413,0.00022594,0.00000000,0.00526213,0.23429619,0.00000000,0.05590382,0.08093558,0.83503121,0.47977374,14
pyyaml,0.11500226,0.00000000,0.00000000,0.00492878,0.23337918,0.00000000,0.05227666,0.07925546,0.83505103,0.47849125,15
exceptiongroup,0.12584727,0.00022594,0.00000000,0.00445692,0.25538744,0.00000000,0.04714252,0.08270387,0.81951316,0.47337494,16
click,0.10664257,0.00000000,0.00000000,0.00485973,0.21641449,0.00000000,0.05152536,0.07471377,0.82606205,0.47050316,17
pydantic,0.10302756,0.00090375,0.00000015,0.00239860,0.20907840,0.02496533,0.02474622,0.07090595,0.82422131,0.46665370,18
cryptography,0.10167194,0.00067781,0.00000003,0.00304854,0.20632737,0.00554785,0.03181815,0.06625085,0.82606242,0.46399340,19
attrs,0.10415725,0.00000000,0.00000000,0.00388741,0.21137093,0.00000000,0.04094577,0.06922104,0.82125007,0.46387199,20
pygments,0.09873475,0.00000000,0.00000000,0.00363282,0.20036680,0.00000000,0.03817554,0.06536192,0.82127630,0.46091655,21
pydantic-core,0.10302756,0.00022594,0.00000000,0.00289323,0.20907840,0.00000000,0.03012821,0.06432089,0.82164354,0.46029937,22
annotated-types,0.10302756,0.00000000,0.00000000,0.00289323,0.20907840,0.00000000,0.03012821,0.06432089,0.81776888,0.45836204,23
typing-inspection,0.10302756,0.00022594,0.00000000,0.00289323,0.20907840,0.00000000,0.03012821,0.06432089,0.81610635,0.45753078,24
zipp,0.08992318,0.00000000,0.00000000,0.00637567,0.18248510,0.00000000,0.06802008,0.07282931,0.79628790,0.45416649,25
anyio,0.09805694,0.00067781,0.00000000,0.00229958,0.19899129,0.00000000,0.02366884,0.05921536,0.81618174,0.45364114,26
h11,0.09263443,0.00000000,0.00000000,0.00300979,0.18798716,0.00000000,0.03139647,0.05955538,0.80891367,0.45026867,27
markupsafe,0.08563037,0.00000000,0.00000000,0.00516499,0.17377350,0.00000000,0.05484685,0.06538212,0.79729293,0.44894040,28
protobuf,0.07591505,0.00000000,0.00000000,0.00484734,0.15405777,0.00000000,0.05139060,0.05907068,0.78960853,0.44024325,29
importlib-metadata,0.08246724,0.00022594,0.00000000,0.00315595,0.16735442,0.00000000,0.03298686,0.05503335,0.78922644,0.43694656,30
httpx,0.08111161,0.00022594,0.00000000,0.00147839,0.16460339,0.00000000,0.01473356,0.04704427,0.79411499,0.43324540,31
httpcore,0.08111161,0.00045188,0.00000000,0.00147839,0.16460339,0.00000000,0.01473356,0.04704427,0.79367041,0.43302310,32
jinja2,0.07840036,0.00022594,0.00000000,0.00213057,0.15910133,0.00000000,0.02182984,0.04850727,0.78663300,0.43062978,33
