package,vuln_count,cvss_max,has_vuln,has_high_vuln,advisory_ids
typing-extensions,0,,0,0,
idna,4,7.5,1,1,GHSA-65pc-fj4g-8rjx;GHSA-jjg7-2v4v-x38h;PYSEC-2024-60;PYSEC-2026-215
certifi,6,7.5,1,1,GHSA-248v-346w-9cwc;GHSA-43fp-rhv2-5gv8;GHSA-xqr8-7jwr-rhp7;PYSEC-2022-42986;PYSEC-2023-135;PYSEC-2024-230
urllib3,32,9.8,1,1,GHSA-2xpw-w6gg-jr37;GHSA-34jh-p97f-mpxf;GHSA-38jv-5279-wg99;GHSA-48p4-8xcf-vxj5;GHSA-5phf-pp7p-vc2r;GHSA-g4mx-q9vg-27p4;GHSA-gm62-xv2j-4w53;GHSA-gwvm-45gx-3cf8;GHSA-hmv2-79q8-fv6g;GHSA-mf9v-mfxr-j63j;GHSA-mh33-7rrq-662w;GHSA-pq67-6m6q-mj2v;GHSA-q2q7-5pp4-w6pg;GHSA-qccp-gfcp-xxvc;GHSA-r64q-w8jr-g9qp;GHSA-v4w5-p2hg-8fh6;GHSA-v845-jxx5-vc9f;GHSA-wqvq-5m8c-6g24;GHSA-www2-v7xj-xrc6;PYSEC-2017-98;PYSEC-2018-32;PYSEC-2019-132;PYSEC-2019-133;PYSEC-2020-148;PYSEC-2020-149;PYSEC-2021-108;PYSEC-2021-59;PYSEC-2023-192;PYSEC-2023-207;PYSEC-2023-212;PYSEC-2026-141;PYSEC-2026-142
requests,13,7.5,1,1,GHSA-652x-xj99-gmcc;GHSA-9hjg-9r4m-mvj7;GHSA-9wx4-h78v-vm56;GHSA-cfj3-7x9c-4p3h;GHSA-gc5v-m9x4-r6x2;GHSA-j8r2-6x86-q33q;GHSA-pg2w-x9wp-vw92;GHSA-x84v-xcm2-53pg;PYSEC-2014-13;PYSEC-2014-14;PYSEC-2015-17;PYSEC-2018-28;PYSEC-2023-74
charset-normalizer,0,,0,0,
packaging,0,,0,0,
six,0,,0,0,
python-dateutil,0,,0,0,
pyyaml,8,9.8,1,1,GHSA-3pqx-4fqf-j49f;GHSA-6757-jp84-gxfx;GHSA-8q59-q68h-6hv4;GHSA-rprw-h62v-c2w7;PYSEC-2018-49;PYSEC-2020-176;PYSEC-2020-96;PYSEC-2021-142
cffi,0,,0,0,
pycparser,0,,0,0,
numpy,16,9.8,1,1,GHSA-2fc2-6r4j-p65h;GHSA-5545-2q6w-2gh6;GHSA-6p56-wp2h-9hxr;GHSA-9fq2-x9r6-wfmf;GHSA-cw6w-4rcx-xphc;GHSA-f7c7-j99h-c22f;GHSA-fpfv-jqm9-f5jm;GHSA-frgw-fgh6-9g52;PYSEC-2017-1;PYSEC-2018-33;PYSEC-2018-34;PYSEC-2019-108;PYSEC-2021-854;PYSEC-2021-855;PYSEC-2021-856;PYSEC-2021-857
cryptography,31,9.8,1,1,GHSA-39hc-v87j-747x;GHSA-3ww4-gg4f-jr7f;GHSA-537c-gmf6-5ccf;GHSA-5cpq-8wj7-hf2v;GHSA-6vqw-3v5j-54x4;GHSA-79v4-65xg-pq4g;GHSA-9v9h-cgj8-h64p;GHSA-cf7p-gm2m-833m;GHSA-fcf9-3qw3-gxmj;GHSA-h4gh-qq45-vh27;GHSA-hggm-jpg3-v476;GHSA-jfhm-5ghh-2f97;GHSA-jm77-qphf-c4w8;GHSA-m959-cc7f-wv43;GHSA-p423-j2cm-9vmq;GHSA-q3cj-2r34-2cwc;GHSA-r6ph-v2qm-q3c2;GHSA-rhm9-p9w5-fwm7;GHSA-v8gr-m533-ghj9;GHSA-w7pp-m8wf-vj6r;GHSA-x4qr-2fvf-3mr5;PYSEC-2017-8;PYSEC-2018-52;PYSEC-2021-62;PYSEC-2021-63;PYSEC-2023-11;PYSEC-2023-112;PYSEC-2023-254;PYSEC-2024-225;PYSEC-2026-35;PYSEC-2026-36
click,0,,0,0,
pydantic,3,5.9,1,0,GHSA-5jqp-qgf6-3pvh;GHSA-mr82-8j83-vxmv;PYSEC-2021-47
pydantic-core,0,,0,0,
pygments,9,9.0,1,1,GHSA-5239-wwwm-4pmq;GHSA-9w8r-397f-prfh;GHSA-fff8-4w9p-7v76;GHSA-mrwq-x4v8-fh7p;GHSA-pq64-v7f5-gqh8;PYSEC-2016-32;PYSEC-2021-140;PYSEC-2021-141;PYSEC-2023-117
attrs,0,,0,0,
exceptiongroup,0,,0,0,
annotated-types,0,,0,0,
anyio,0,,0,0,
typing-inspection,0,,0,0,
h11,1,9.1,1,1,GHSA-vqfr-h8mv-ghfj
markupsafe,0,,0,0,
zipp,1,6.2,1,0,GHSA-jfmj-5v4g-7637
httpx,2,9.1,1,1,GHSA-h8pj-cxx2-jfg2;PYSEC-2022-183
httpcore,0,,0,0,
protobuf,7,8.8,1,1,GHSA-7gcm-g887-7qv7;GHSA-8gq9-2x98-w8hf;GHSA-8qvm-5x2c-j2w7;GHSA-jwvw-v7c5-m82h;PYSEC-2017-150;PYSEC-2017-65;PYSEC-2022-48
importlib-metadata,0,,0,0,
jinja2,15,8.8,1,1,GHSA-462w-v97r-4m45;GHSA-8r7q-cvjq-x353;GHSA-cpwx-vrp4-4pq7;GHSA-fqh9-2qgg-h84h;GHSA-g3rq-g295-4j3m;GHSA-gmj6-6f8f-6699;GHSA-h5c8-rqwp-cp95;GHSA-h75v-3vvj-5mfj;GHSA-hj2j-77xm-mc5v;GHSA-q2x7-8rv6-6q7h;PYSEC-2014-8;PYSEC-2014-82;PYSEC-2019-217;PYSEC-2019-220;PYSEC-2021-66
tomli,0,,0,0,
markdown-it-py,4,5.5,1,0,GHSA-jrwr-5x3p-hvc3;GHSA-vrjv-mxr7-vjf8;PYSEC-2023-23;PYSEC-2023-24
mdurl,0,,0,0,
rich,0,,0,0,
tqdm,3,7.8,1,1,GHSA-g7vv-2v7x-gj9p;GHSA-r7q7-xcjw-qx8q;PYSEC-2017-74
multidict,0,,0,0,
propcache,0,,0,0,
fsspec,0,,0,0,
yarl,0,,0,0,
grpcio,6,7.5,1,1,GHSA-496j-2rq6-j6cc;GHSA-6628-q6j9-w8vg;GHSA-9hxf-ppjv-w6rq;GHSA-cfgp-2977-2fmm;GHSA-p25m-jpj4-qcrr;PYSEC-2017-101
