package,in_degree_raw,in_degree_norm,usage_norm,reach_raw,reach_norm,risk_score,risk_rank
typing-extensions,2181,1.000000,0.936719,2188,1.000000,0.984180,1
idna,1165,0.918488,0.942360,1171,0.918773,0.924570,2
certifi,1100,0.911027,0.941903,1102,0.910884,0.918689,3
urllib3,1001,0.898772,0.945577,1003,0.898657,0.910427,4
requests,906,0.885815,0.940812,908,0.885732,0.899531,5
charset-normalizer,920,0.887807,0.932251,922,0.887720,0.898883,6
packaging,777,0.865860,0.955457,782,0.866332,0.888448,7
six,693,0.850998,0.908501,696,0.851205,0.865457,8
python-dateutil,580,0.827882,0.910643,583,0.828206,0.848702,9
pyyaml,509,0.810928,0.907961,509,0.810590,0.835051,10
cffi,511,0.811437,0.905544,513,0.811606,0.835031,11
pycparser,512,0.811691,0.898368,514,0.811859,0.833427,12
numpy,501,0.808871,0.900841,504,0.809309,0.832039,13
cryptography,450,0.794936,0.919510,451,0.794893,0.826062,14
click,472,0.801131,0.900510,474,0.801346,0.826062,15
pydantic,456,0.796655,0.906089,459,0.797174,0.824221,16
pydantic-core,456,0.796655,0.895326,460,0.797457,0.821644,17
pygments,437,0.791132,0.910817,440,0.791690,0.821276,18
attrs,461,0.798071,0.888636,467,0.799416,0.821250,19
exceptiongroup,557,0.822628,0.807757,565,0.824136,0.819513,20
annotated-types,456,0.796655,0.879828,460,0.797457,0.817769,21
anyio,434,0.790238,0.890749,442,0.792278,0.816182,22
typing-inspection,456,0.796655,0.873178,460,0.797457,0.816106,23
h11,410,0.782856,0.884594,416,0.784414,0.808914,24
markupsafe,379,0.772655,0.870085,382,0.773356,0.797293,25
zipp,398,0.779002,0.846591,402,0.779974,0.796288,26
httpx,359,0.765623,0.876664,365,0.767453,0.794115,27
httpcore,359,0.765623,0.874886,365,0.767453,0.793670,28
protobuf,336,0.757035,0.886603,338,0.757489,0.789609,29
importlib-metadata,365,0.767773,0.847939,376,0.771303,0.789226,30
jinja2,347,0.761213,0.861615,350,0.762012,0.786633,31
tomli,319,0.750302,0.820766,320,0.750395,0.767956,32
markdown-it-py,287,0.736598,0.858310,290,0.737638,0.767442,33
mdurl,288,0.737048,0.849689,291,0.738084,0.765623,34
rich,277,0.732001,0.859734,280,0.733092,0.764370,35
tqdm,249,0.718192,0.845372,252,0.719444,0.750488,36
multidict,215,0.699178,0.854805,224,0.704194,0.740091,37
propcache,207,0.694269,0.855255,216,0.699487,0.736603,38
fsspec,198,0.688515,0.880045,199,0.688880,0.736544,39
yarl,205,0.693012,0.857752,214,0.698283,0.736306,40
grpcio,213,0.697968,0.832601,216,0.699487,0.732234,41
aiohttp,197,0.687860,0.860329,198,0.688229,0.731125,42
rpds-py,202,0.691104,0.847842,205,0.692724,0.730936,43
jsonschema,198,0.688515,0.851089,199,0.688880,0.729305,44
referencing,201,0.690462,0.842631,204,0.692091,0.729156,45
frozenlist,192,0.684533,0.849804,200,0.689529,0.727849,46
python-dotenv,189,0.682496,0.864083,189,0.682211,0.727779,47
pyjwt,189,0.682496,0.861558,191,0.683573,0.727692,48
jsonschema-specifications,197,0.687860,0.841733,200,0.689529,0.726996,49
aiohappyeyeballs,191,0.683858,0.846937,200,0.689529,0.726896,50
aiosignal,191,0.683858,0.847095,199,0.688880,0.726676,51
googleapis-common-protos,196,0.687202,0.845351,196,0.686915,0.726624,52
platformdirs,180,0.676184,0.866814,184,0.678744,0.724865,53
async-timeout,229,0.707347,0.769222,238,0.712043,0.724694,54
annotated-doc,190,0.683178,0.841922,196,0.686915,0.724359,55
pandas,176,0.673277,0.873610,177,0.673729,0.723541,56
