package,total_downloads
boto3,3288347607
packaging,1905750161
urllib3,1688559792
idna,1623330165
certifi,1614263191
requests,1592843758
typing-extensions,1514970586
charset-normalizer,1434290715
botocore,1328877725
setuptools,1299276933
cryptography,1227079572
pygments,1103156518
python-dateutil,1100811361
aiobotocore,1075843995
six,1072312355
pyyaml,1065238518
pluggy,1053413597
pydantic,1041095772
cffi,1034165710
numpy,976288909
click,972340463
pycparser,947156210
pydantic-core,912527919
anyio,862781340
pytest,852354996
attrs,840739266
grpcio-status,838360417
s3transfer,832635961
protobuf,820062850
iniconfig,815682749
h11,800135418
fsspec,756779305
annotated-types,754767053
httpx,726082023
httpcore,710439650
pandas,699429723
typing-inspection,695733432
markupsafe,669875756
pip,669179692
s3fs,655761316
platformdirs,643570056
python-dotenv,622401312
pathspec,604989671
jinja2,603870995
pyjwt,603450578
aiohttp,594438469
rich,590118240
markdown-it-py,579920011
filelock,576178950
yarl,575967152
jmespath,575753235
propcache,558620526
multidict,555549981
starlette,553289661
litellm,544499824
uvicorn,538266170
pyasn1,531673415
jsonschema,530836728
google-auth,529199486
frozenlist,522548409
mdurl,521810394
wheel,519550211
importlib-metadata,510749978
rpds-py,510140897
aiosignal,505497325
pytz,505333888
aiohappyeyeballs,504516475
zipp,502384367
fastapi,500743461
tqdm,494941619
googleapis-common-protos,494809848
referencing,478603984
trove-classifiers,475038893
annotated-doc,474464128
jsonschema-specifications,473368852
virtualenv,465551779
google-api-core,464222022
opentelemetry-sdk,461443658
tzdata,459796204
pillow,452134802
pyasn1-modules,445903651
greenlet,433900029
colorama,424008132
grpcio,423277017
tenacity,421886809
opentelemetry-semantic-conventions,416996962
wrapt,411751462
websockets,399454282
requests-oauthlib,394233412
pyarrow,391151315
opentelemetry-api,390164657
python-multipart,389699675
scipy,384721973
typer,382603564
sniffio,381587701
sqlalchemy,375624265
soupsieve,368977330
pydantic-settings,368179241
pyparsing,366691169
shellingham,366557249
tomli,366169744
lxml,362236262
beautifulsoup4,359332431
psutil,350525819
regex,349808915
oauthlib,349602711
awscli,340722519
opentelemetry-proto,337658923
textual,337318930
more-itertools,336629542
hatchling,335154130
sglang,327824959
opentelemetry-exporter-otlp-proto-http,324076765
cachetools,319270867
openai,316859890
watchfiles,313939042
exceptiongroup,312238066
distro,304325453
langchain,303564483
tomlkit,302499463
requests-toolbelt,297637994
jiter,297246466
distlib,295407621
proto-plus,292816002
rsa,290270728
mcp,283011565
pydantic-ai-slim,278288566
openpyxl,277646910
et-xmlfile,275105346
huggingface-hub,274712297
mypy-extensions,270160548
websocket-client,268808936
coverage,266776562
editables,265626836
grpcio-tools,264540049
dnspython,263027015
wcwidth,262512672
google-genai,262483486
opentelemetry-instrumentation,258264132
sse-starlette,256497811
opentelemetry-exporter-otlp-proto-common,255424313
opentelemetry-exporter-otlp-proto-grpc,254380140
gitpython,249253622
redis,245866103
networkx,245603691
keyring,244414858
werkzeug,243782211
python-discovery,243556342
google-cloud-storage,242989511
psycopg2-binary,241375486
msgpack,239810498
ruff,238773619
pyopenssl,238485880
smmap,237724773
docutils,234195443
jaraco-classes,233396613
decorator,231984584
jeepney,230330201
secretstorage,229889950
ptyprocess,228564613
sortedcontainers,227949611
pynacl,224781584
pexpect,224486023
docker,222491979
jaraco-functools,221933035
docstring-parser,220351648
multiprocess,220221902
httptools,220030724
jaraco-context,218231006
gitdb,217804484
fonttools,216968351
uvloop,215911816
pytest-json-ctrf,213330038
tabulate,208311924
azure-identity,208184040
azure-core,207936777
isodate,207348149
prompt-toolkit,206501647
matplotlib,205857430
hf-xet,203441843
httpx-sse,202912877
scikit-learn,202385287
pytest-asyncio,197236381
itsdangerous,195904976
async-timeout,194775226
flask,194007955
bcrypt,193648292
google-cloud-core,192492807
dill,192264933
kiwisolver,191668187
pytest-cov,190343022
joblib,189055078
email-validator,187984844
defusedxml,184864945
contourpy,184233201
msal,183444801
orjson,183244772
alembic,182534403
ruamel-yaml,178955567
tiktoken,178835773
deprecated,177679026
chardet,177432382
tokenizers,176600722
threadpoolctl,176122181
google-resumable-media,174210336
snowflake-connector-python,172656322
google-crc32c,172570205
blinker,170928825
kubernetes,170255809
mako,170248772
pydantic-graph,169591872
tzlocal,169486351
google-api-python-client,167339699
jsonpointer,167200666
ydb,166791699
nodeenv,164724974
cycler,164518895
sympy,164382235
poetry-core,164225385
toml,163330103
mypy,161960286
uv,161644500
opentelemetry-exporter-otlp,161064102
pyproject-hooks,160136140
opentelemetry-instrumentation-requests,157872349
uritemplate,157640526
xxhash,156689048
google-auth-httplib2,156559220
opentelemetry-util-http,155846151
zstandard,155817397
rapidfuzz,155691268
prometheus-client,155662987
ipython,154922313
asn1crypto,154487424
google-cloud-aiplatform,154149305
google-cloud-secret-manager,154009473
google-auth-oauthlib,153729247
google-cloud-bigquery,151858494
google-cloud-batch,151172607
weaviate-client,150868685
databricks-sql-connector,150229957
identify,149603125
httplib2,149452089
pre-commit,147565050
traitlets,147531024
build,147441768
cfgv,146884854
paramiko,146186080
transformers,144969715
langchain-core,143458954
h2,142409189
hyperframe,141721681
hpack,141459569
aiofiles,140398961
types-requests,139838661
jedi,138612436
jsonpatch,138145101
backoff,137439956
executing,137141090
fastjsonschema,137118650
parso,137076076
google-analytics-admin,136104519
sqlparse,134190860
google-cloud-kms,134029144
google-cloud-compute,133383865
msal-extensions,133199654
marshmallow,132537267
anthropic,132099059
azure-storage-blob,131842711
mpmath,131784444
matplotlib-inline,131509586
black,131015811
gcsfs,129459506
sentry-sdk,129439717
authlib,128849227
asttokens,127664239
cloudpickle,127623148
babel,127432346
gunicorn,126921064
durationpy,125734879
setuptools-scm,123968635
pytest-xdist,123305658
asgiref,122475768
pure-eval,122010440
stack-data,121984960
datasets,121169538
cython,120689077
webencodings,120652329
grpc-google-iam-v1,119830674
xmltodict,118578866
databricks-sdk,118561628
tornado,117705791
execnet,117653582
pandas-stubs,116063402
google-cloud-dlp,116004976
rich-toolkit,115149425
joserfc,115010472
nest-asyncio,113689149
python-json-logger,113252591
termcolor,111039375
google-cloud-speech,110702411
librt,110448998
google-cloud-texttospeech,109251017
dbt-core,108878576
tree-sitter,108714489
google-cloud-pubsub,107115976
pymongo,107017904
cachecontrol,106950666
py4j,106783213
markdown,104561200
watchdog,104365511
dbt-adapters,103635180
importlib-resources,103209519
pyzmq,100526391
pyee,100360615
vcs-versioning,99544672
isort,98424116
debugpy,97982826
playwright,97600950
llama-parse,96989263
llama-cloud-services,96336251
aioitertools,95830315
typing-inspect,94564361
structlog,94503450
cfn-lint,94067642
asyncpg,93060656
narwhals,92754501
pytest-mock,92091269
tinycss2,91109185
google-cloud-tasks,90858426
mdit-py-plugins,90101704
slack-sdk,89753109
pycryptodome,89018416
google-cloud-monitoring,88889160
dulwich,88669765
langsmith,88056004
cyclopts,87296717
